idx,process,process_general,origin,origin_region,roast,grind,arabica_percentage,pure_arabica,washed,natural,fermented_traditional,fermented_closed_tank,brewing_method
208,Semi-washed,Semi-washed,Kolumbia,Latam,light,ground,100,TRUE,TRUE,FALSE,TRUE,FALSE,drip
209,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
210,Washed,Washed,Burundi,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
211,Washed,Washed,Gwatemala,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
212,Honey,Honey,Nikaragua,Latam,light,beans,100,TRUE,TRUE,TRUE,TRUE,FALSE,drip
213,Natural,Natural,Etiopia,Africa,light,ground,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
214,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
215,Natural,Natural,Nikaragua,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
216,Natural,Natural,Panama,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
217,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
218,Natural,Natural,Etiopia,Africa,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
219,Semi-Carbonic Maceration,Fermented,Brazylia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
220,Natural,Natural,Brazylia,Latam,light,beans,100,TRUE,FALSE,TRUE,FALSE,FALSE,drip
221,Washed,Washed,Etiopia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
222,Monsooning,Monsooning,Indie,Asia,medium,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
223,Washed,Washed,Peru,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
224,Washed,Washed,Rwanda,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
225,Monsooning,Monsooning,Brazylia,Latam,light,beans,100,TRUE,FALSE,FALSE,FALSE,FALSE,drip
226,Washed,Washed,Kenia,Africa,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
227,Washed,Washed,Honduras,Latam,light,beans,100,TRUE,TRUE,FALSE,FALSE,FALSE,drip
